locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
DDL_Simulador	dbo	user table
Del_reemHab	dbo	user table
delTmpt	dbo	user table
DentalRegion	dbo	user table
DentalRegionImed	dbo	user table
DetallesComisiones	dbo	user table
Detbon	dbo	user table
DetbonEmp	dbo	user table
devoluciones	dbo	user table
dias	dbo	user table
dtproperties	dbo	user table
Ejecutivos	dbo	user table
Ejecutivos20091001	dbo	user table
Ejecutivos201001	dbo	user table
Eliminados_IMED	dbo	user table
EmailCupon	dbo	user table
Empresa	dbo	user table
EmpresasVina	dbo	user table
Estadistica_IMED	dbo	user table
Estadisticas_Imed	dbo	user table
ESTIMED	dbo	user table
etiquetas	dbo	user table
Ex_Colillas	dbo	user table
ex_Tiempo	dbo	user table
Exp_Interaux	dbo	user table
ExpT_BonificacionCar	dbo	user table
ExpT_BonificacionDet	dbo	user table
ExpT_BonificacionPre	dbo	user table
ExpT_ColillaCar	dbo	user table
FarT_CertiFarmaCar	dbo	user table
FarT_CertiFarmaCar_log	dbo	user table
FarT_CertiFarmaDet	dbo	user table
FarT_Farmacias	dbo	user table
FarT_Locales	dbo	user table
FarT_Medicamentos	dbo	user table
Fart_Noviembre	dbo	user table
FarT_Pharma	dbo	user table
FarT_PharmaGral	dbo	user table
FarT_Prestadores	dbo	user table
Fechas	dbo	user table
Finales_Anulados	dbo	user table
Finan_Auditoria	dbo	user table
FixT_BonificacionCar	dbo	user table
FixT_BonificacionCar_log	dbo	user table
FixT_BonificacionDet	dbo	user table
FixT_BonificacionPre	dbo	user table
FixT_ColillaCar	dbo	user table
FixT_DatosDocRegenera	dbo	user table
FixT_GuiaDeDespacho	dbo	user table
Fixt_RegulaTopesCopiaReembolsos	dbo	user table
FOLIOS	dbo	user table
GC_Acceso_Ejecutivo	dbo	user table
GC_Agente	dbo	user table
Gc_AjusteBonoEjecutivo	dbo	user table
Gc_AjusteBonoEjecutivo_188	dbo	user table
GC_AjusteBonoEjecutivo20111114	dbo	user table
GC_AjusteBonoEjecutivo20120213	dbo	user table
Gc_AporteAcumulado	dbo	user table
GC_AporteAcumulado_20111213	dbo	user table
Gc_AporteAcumulado_bkp	dbo	user table
Gc_AsistenciaEjecutivo	dbo	user table
GC_AsistenciaEjecutivo_Paso	dbo	user table
Gc_BonoComisiones	dbo	user table
GC_Cantidad_Titulares	dbo	user table
GC_Cargo_Contacto	dbo	user table
Gc_CarteraEjecutivo	dbo	user table
Gc_CarteraEjecutivo_bkp20101223	dbo	user table
Gc_CarteraEjecutivo_Ok	dbo	user table
Gc_CarteraEjecutivo_Ok_Per2	dbo	user table
Gc_CarteraEjecutivo_Ok20111114	dbo	user table
Gc_CarteraTrimestre08	dbo	user table
Gc_CarteraTrimestre09	dbo	user table
Gc_CarteraTrimestre10	dbo	user table
Gc_CarteraTrimestre11	dbo	user table
GC_Cliente_Procedencia	dbo	user table
GC_ComisionesEjeMantencion	dbo	user table
GC_ComisionesEjeMantencion2	dbo	user table
GC_ComisionesEjeMantencion2_20111114	dbo	user table
Gc_ComisionesJefeMantencion	dbo	user table
Gc_ComisionesJefeMantencion_20111114	dbo	user table
Gc_ComisionesJefeMantencion2	dbo	user table
Gc_ComisonesEjecutivoVenta	dbo	user table
Gc_ComisonesEjecutivoVenta_20111213	dbo	user table
Gc_ComisonesEjecutivoVenta_V2	dbo	user table
Gc_ComisonesJefeRegional	dbo	user table
Gc_ComisonesJefeVenta	dbo	user table
Gc_ComisonesJefeVentaReg	dbo	user table
GC_Contacto	dbo	user table
gc_controlvisitas	dbo	user table
GC_Cotizacion	dbo	user table
GC_CumplimientoMeta	dbo	user table
GC_DetalleEvaluacion	dbo	user table
GC_DetalleEvaluacionClientes	dbo	user table
GC_Ejecutivo	dbo	user table
Gc_EmpJefeRegional	dbo	user table
Gc_EmpJefeRegional_20111114	dbo	user table
GC_Empresa	dbo	user table
Gc_EmpresaComision	dbo	user table
Gc_EmpresasAtrasadas	dbo	user table
GC_Evaluacion	dbo	user table
GC_Gestion	dbo	user table
GC_GrupoPr_08052010163539000	dbo	user table
