
SQL*Plus: Release 11.2.0.3.0 Production on Mon Aug 3 16:47:43 2015

Copyright (c) 1982, 2011, Oracle.  All rights reserved.


Connected to:
Oracle Database 10g Release 10.2.0.5.0 - 64bit Production

SQL> SQL> 
OBJECT_NAME		       PROCEDURE_NAME		      OBJECT_TYPE	  OWNER
PROC_FUN_MASIVOREBJCAR	       ACTUALIZA_DATOS_AFI	      PACKAGE		  ADMPLAN
PROCESO_FUN_PES 	       ACTUALIZA_DATOS_AFI	      PACKAGE		  ADMPLAN
PROC_FUN_MASIVOCARGAMED        ACTUALIZA_DATOS_AFI	      PACKAGE		  ADMPLAN
PROCESO_FUN_DET0204	       ACTUALIZA_DATOS_AFI	      PACKAGE		  ADMPLAN
PSIL42_ESTADOS_PACIENTE_FECRES ACTUALIZA_ESTADO 	      PACKAGE		  PSIL42
PSIL42_ESTADOS_PACIENTE        ACTUALIZA_ESTADO 	      PACKAGE		  PSIL42
PROCESO_ADECUACION_PLANUF      ACTUALIZA_FACTOR_ADE	      PACKAGE		  ADMPLAN
PROCESO_ADEC_XCONTRATO_BAK     ACTUALIZA_FACTOR_ADE	      PACKAGE		  ADMPLAN
PROCESO_ADECUACION	       ACTUALIZA_FACTOR_ADE	      PACKAGE		  ADMPLAN
PROCESO_ADECUACION_XCONTRATO   ACTUALIZA_FACTOR_ADE	      PACKAGE		  ADMPLAN
PROCESO_ADECUACION_XCOTIZANTE  ACTUALIZA_FACTOR_ADE	      PACKAGE		  ADMPLAN
PROCESO_ADECUACION	       ACTUALIZA_FACTOR_ADE_EDAD      PACKAGE		  ADMPLAN
PROCESO_ADECUACION_PLANUF      ACTUALIZA_FACTOR_ADE_EDAD      PACKAGE		  ADMPLAN
PROCESO_ADECUACION_XCONTRATO   ACTUALIZA_FACTOR_ADE_EDAD      PACKAGE		  ADMPLAN
PROCESO_ADEC_XCONTRATO_BAK     ACTUALIZA_FACTOR_ADE_EDAD      PACKAGE		  ADMPLAN
PROCESO_ADECUACION_XCOTIZANTE  ACTUALIZA_FACTOR_ADE_EDAD      PACKAGE		  ADMPLAN
PROCESO_ADEC_XCONTRATO_BAK     ACTUALIZA_FACTOR_GRUPAL	      PACKAGE		  ADMPLAN
PROCESO_ADECUACION_XCONTRATO   ACTUALIZA_FACTOR_GRUPAL	      PACKAGE		  ADMPLAN
PROCESO_FUN_MASIVO_2427_RAYPBT ACTUALIZA_FACTOR_NC24	      PACKAGE		  ADMPLAN
PROCESO_FUN_MASIVOS_NC24       ACTUALIZA_FACTOR_NC24	      PACKAGE		  ADMPLAN
PROCESO_FUN_MASIVO_CONT_UF     ACTUALIZA_FACTOR_NC24	      PACKAGE		  ADMPLAN
ACTUALIZA_PRECIOS_HISTORICOS_B ACTUALIZA_FECHAS_VIGENCIA      PACKAGE		  ADMPLAN
PSIL42_PERITAJE 	       ACTUALIZA_FOLIOCITACION	      PACKAGE		  PSIL42
PSIL42_INFORMEMED	       ACTUALIZA_FOLIOCITACION	      PACKAGE		  PSIL42
PKG_PRE_INGRESOS	       ACTUALIZA_FOLIO_MANUAL	      PACKAGE		  ADMCOTIZ
PSIL42_ESTADOS_PACIENTE        ACTUALIZA_GESTION	      PACKAGE		  PSIL42
PSIL42_ESTADOS_PACIENTE_FECRES ACTUALIZA_GESTION	      PACKAGE		  PSIL42
PSIL42_REPOSO_HISTORICOS       ACTUALIZA_GESTION	      PACKAGE		  PSIL42
ACTUALIZA_PRECIOS_HISTORICOS_B ACTUALIZA_HSTPRECIO_PER200907  PACKAGE		  ADMPLAN
