locale is "es_ES.UTF-8"
locale charset is "UTF-8"
locale is "es_ES.UTF-8"
locale charset is "UTF-8"
1> 2> Name	Owner	Object_type
SAP_PROPUESTA_EXCEDENTE	dbo	view
SAP_PROPUESTA_EXCESO	dbo	view
SAP_PROPUESTA_MAL_ENTERADA	dbo	view
SAP_PROPUESTA_OPA	dbo	view
SAP_PROPUESTA_PAGO_REE	dbo	view
SAP_PROPUESTA_REEMBOLSO	dbo	view
SAP_PROPUESTA_SUBSIDIO	dbo	view
SAP_RECAUDA	dbo	view
SAP_RECAUDA_DN	dbo	view
SAP_RECUPGASTOS	dbo	view
SAP_REEMBAMB	dbo	view
SAP_REE_SI	dbo	view
SAP_RESUMEN	dbo	view
SAP_RESUMEN_CARGAS_DIARIAS	dbo	view
SAP_SUBSIDIOS	dbo	view
SAP_SUBSIDIO_SI	dbo	view
SAP_TIPDOCU	dbo	view
SAP_VALIDA	dbo	view
SAP_VALIDAOPA	dbo	view
SAP_VALIDARCD	dbo	view
SAP_VALIDA_CNT	dbo	view
SBS_ARCHIVO_23	dbo	view
SBS_MAT	dbo	view
SII200901	dbo	view
SII200902	dbo	view
SII200903	dbo	view
SII200904	dbo	view
SII200905	dbo	view
SII200906	dbo	view
SII200907	dbo	view
SII200908	dbo	view
SII200909	dbo	view
SII200910	dbo	view
SII200911	dbo	view
SII200912	dbo	view
SII201001	dbo	view
SII201002	dbo	view
SII201003	dbo	view
SII201004	dbo	view
SII201005	dbo	view
SII201006	dbo	view
SII201007	dbo	view
SII201008	dbo	view
SII201009	dbo	view
SII201010	dbo	view
SII201011	dbo	view
SII201012	dbo	view
SIIORD1529	dbo	view
SI_NSV_EMISIONAMB	dbo	view
SI_NSV_EMISIONOPA	dbo	view
SI_NSV_EXCEDENTE	dbo	view
SI_NSV_EXCESO	dbo	view
SI_NSV_NOTACREDITOOPA	dbo	view
SI_NSV_RECAUDA	dbo	view
SI_NSV_REEMBAMB	dbo	view
SI_NSV_SUBSIDIOS	dbo	view
SI_NSV_SUBSIDIOS_MAT	dbo	view
SNT_ALTER	dbo	view
SUBSIDIOS	dbo	view
SUBSIDIOSBF	dbo	view
SUBSIDIOSDS	dbo	view
SUBSIDIOSDT	dbo	view
SUBSIDIOSDV	dbo	view
SUBSIDIOSDW	dbo	view
SUBSIDIOSDX	dbo	view
SUBSIDIOSR1	dbo	view
SUBSIDIOSR2	dbo	view
SUBSIDIOSR3	dbo	view
SUBSIDIOSR4	dbo	view
SUBSIDIOSR5	dbo	view
SUSESO	dbo	view
SUSESO_BCI	dbo	view
SUSESO_STD	dbo	view
TOT_COMISIONES	dbo	view
VIEW_CNT	dbo	view
VIEW_HOGGE	dbo	view
VIEW_SISP	dbo	view
VI_APSC	dbo	view
VI_CATEGORIA_COB_REDUC	dbo	view
VI_MUESTRA1	dbo	view
VI_MUESTRA2	dbo	view
VI_MUESTRA3	dbo	view
VI_MUESTRA4	dbo	view
VI_MUESTRA5	dbo	view
VI_MUESTRA6	dbo	view
VI_OPA_EMISION	dbo	view
VI_PABELLON_AMB	dbo	view
VI_PEC	dbo	view
VI_RUT_2	dbo	view
VI_SAP_EMISIONAMB	dbo	view
VI_USOS	dbo	view
V_DAFILIACION	dbo	view
V_FACTORES	dbo	view
V_GES_ABF	dbo	view
V_GES_ABFEX	dbo	view
V_GES_ABFHEADER	dbo	view
V_GES_USOSLOG	dbo	view
V_IQSUCURSAL	dbo	view
V_SUCURSAL	dbo	view
WARFING	dbo	view
a	dbo	view
agcia	dbo	view
amb1	dbo	view
amb2	dbo	view
contratos	dbo	view
kk	dbo	view
master_cnt	dbo	view
presta	dbo	view
v1	dbo	view
AAC_ASIGNACION	dbo	user table
AAC_CONSULTA	dbo	user table
AAC_CONTACTO	dbo	user table
AAC_CONTACTOHIST	dbo	user table
AAC_CORREL	dbo	user table
ABF_DATSEQ	dbo	user table
ABF_DATSEQINT	dbo	user table
ABF_DATSEQ_RES	dbo	user table
ABF_FOLIO	dbo	user table
ABF_VACUNAS	dbo	user table
ABONO_SEXO	dbo	user table
ACC	dbo	user table
ADEC2008	dbo	user table
ADEC2010	dbo	user table
ADEC2010_CAT	dbo	user table
ADEC2011	dbo	user table
ADEC2012	dbo	user table
ADEC2013	dbo	user table
ADECUA	dbo	user table
ADECUACION	dbo	user table
ADEC_CNT	dbo	user table
ADEC_CNT_RESP	dbo	user table
ADEC_CORRELATIVO	dbo	user table
ADEC_ESTADO	dbo	user table
ADEC_GESTION	dbo	user table
ADEC_LAN	dbo	user table
ADEC_PARAM	dbo	user table
ADEC_PERIODO	dbo	user table
ADEC_PROCESO	dbo	user table
ADEC_TIPGES	dbo	user table
ADF_AUTORIZA	dbo	user table
ADF_AUTORIZAHIST	dbo	user table
ADF_RECEP	dbo	user table
ADM_MOTIVOS	dbo	user table
ADM_OPCIONES	dbo	user table
ADVANCED_MEDICAL	dbo	user table
AFILIACIONES	dbo	user table
AFILVIG	dbo	user table
AFIMODCNTBENCOB	dbo	user table
AFIMODRUTCNT	dbo	user table
AFIMODRUTCNT_23278307	dbo	user table
AFIMODRUTCNT_paso	dbo	user table
AFIVIGENTES	dbo	user table
AFI_ARCHIVO	dbo	user table
AFI_SUSCRIPCION	dbo	user table
AFI_SUSCRIPCION2	dbo	user table
AFM	dbo	user table
AGE	dbo	user table
AGENTES	dbo	user table
AGE_MAIL	dbo	user table
AGE_PASO	dbo	user table
AGE_TRAZA	dbo	user table
AJU_TMP	dbo	user table
AMB_ADP	dbo	user table
AMB_AMB	dbo	user table
AMB_AMBN	dbo	user table
AMB_DDP	dbo	user table
AMB_EDP	dbo	user table
AMB_FOLIO	dbo	user table
AMB_GLSUSUARIOS	dbo	user table
AMB_HON	dbo	user table
AMB_HONN	dbo	user table
AMB_LOG	dbo	user table
AMB_PEC	dbo	user table
AMB_PERFIL	dbo	user table
AMB_PQA	dbo	user table
AMB_PQAD	dbo	user table
AMB_RDSPORC	dbo	user table
AMB_REL	dbo	user table
AMB_RPTREEMB	dbo	user table
AMB_TIPBONIF	dbo	user table
ANEXO_PLANESALEMANA	dbo	user table
ANTDEUDA_01	dbo	user table
ANTDEUDA_02	dbo	user table
ANULA_LEY20585	dbo	user table
APSC	dbo	user table
ARANHOMO	dbo	user table
ARAN_PASO	dbo	user table
ARA_RELPABCODIGOS	dbo	user table
ASESORIA	dbo	user table
AUDITCOMPIN	dbo	user table
AUDITORIA	dbo	user table
AUD_CASOSDEAUDITORIA	dbo	user table
AUD_CASOSDEAUDITORIA_B	dbo	user table
AUD_PRMCASOSCORREL	dbo	user table
AUD_PRMSOSPECHA	dbo	user table
AUGE_EMPREG_200705	dbo	user table
AUGE_EMP_200705	dbo	user table
AUTORIZA	dbo	user table
AUX_ABONO	dbo	user table
AUX_ADP	dbo	user table
AUX_CVM_IIDP	dbo	user table
AUX_DDP	dbo	user table
AUX_DETSALAS	dbo	user table
AUX_EDP	dbo	user table
AUX_HPQT	dbo	user table
AUX_IDP	dbo	user table
AUX_IIDP	dbo	user table
AUX_IME	dbo	user table
AUX_ODP	dbo	user table
AUX_PDDP	dbo	user table
AUX_PEC	dbo	user table
AUX_PQT	dbo	user table
AUX_RPQT	dbo	user table
AUX_SALAS	dbo	user table
AUX_VIN	dbo	user table
Applications	dbo	user table
Attributes	dbo	user table
BAJAR_BONOS_PK	dbo	user table
BAMB_ADP	dbo	user table
BAMB_AMBN	dbo	user table
BAMB_DDP	dbo	user table
BAMB_EDP	dbo	user table
BAMB_HONN	dbo	user table
BAMB_PEC	dbo	user table
BAMB_PQA	dbo	user table
BAMB_PQAD	dbo	user table
BAMB_REL	dbo	user table
BAPI50	dbo	user table
BASEGES2010	dbo	user table
BASEGES2010_RNT	dbo	user table
BASEGES_FOLIOS	dbo	user table
BBDD_MAILE1_201301	dbo	user table
BBDD_MAILE1_201304	dbo	user table
BBDD_MAIL_201110	dbo	user table
BBDD_MAIL_201206	dbo	user table
BBDD_MAIL_201210_5	dbo	user table
BBDD_MAIL_201211	dbo	user table
BBDD_MAIL_201212	dbo	user table
BBDD_MAIL_201303	dbo	user table
BBDD_MAIL_EXC	dbo	user table
BBDD_MCONV_201207	dbo	user table
BDMAILSTGO_201208	dbo	user table
BENEFICIARIO	dbo	user table
BENEF_INDI	dbo	user table
BENEF_PS18	dbo	user table
BENEF_UC	dbo	user table
BEN_PASOIVB	dbo	user table
BEN_SAP1	dbo	user table
BEN_SAP2	dbo	user table
BEN_SAP3	dbo	user table
BEN_SAP4	dbo	user table
BEN_SAP5	dbo	user table
BEN_TMP_IVB	dbo	user table
BKCaduco	dbo	user table
BOLINF	dbo	user table
BON	dbo	user table
BONCON	dbo	user table
BONITOS	dbo	user table
BONOREEM_MINIMO_FONASA	dbo	user table
BONOS	dbo	user table
BONOS_AUDPREF	dbo	user table
BONOS_DE_LA_OPA_SI	dbo	user table
BONOS_NOHAY	dbo	user table
BONOS_NOHAY_27042010	dbo	user table
BONO_3OPASIMED	dbo	user table
BONO_99999999	dbo	user table
BONO_AGOSTO_ENSAP	dbo	user table
BONO_CAJA_SAP	dbo	user table
BONO_COPAGO_SAP	dbo	user table
