
SQL*Plus: Release 11.2.0.3.0 Production on Tue Jun 18 14:42:15 2013

Copyright (c) 1982, 2011, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production

SQL> SQL> 
OBJECT_NAME		       PROCEDURE_NAME		      OBJECT_TYPE	  OWNER
DBMS_XMLDOM		       APPENDDATA		      PACKAGE		  XDB
LT_CTX_PKG		       APPENDNEXTVERS		      PACKAGE		  WMSYS
DBMS_RESCONFIG		       APPENDRESCONFIG		      PACKAGE		  XDB
DBMS_XDB		       APPENDRESOURCEMETADATA	      PACKAGE		  XDB
DBMS_XDB		       APPENDRESOURCEMETADATA	      PACKAGE		  XDB
DBMS_REPUTIL		       APPEND_SEQUENCE		      PACKAGE		  SYS
DBMS_REPUTIL		       APPEND_SEQUENCE_NC	      PACKAGE		  SYS
DBMS_REPUTIL		       APPEND_SITE_NAME 	      PACKAGE		  SYS
DBMS_REPUTIL		       APPEND_SITE_NAME_NC	      PACKAGE		  SYS
HTP			       APPLETCLOSE		      PACKAGE		  SYS
HTP			       APPLETOPEN		      PACKAGE		  SYS
HTF			       APPLETOPEN		      PACKAGE		  SYS
DBMS_DATA_MINING	       APPLY			      PACKAGE		  SYS
DBMS_STANDARD		       APPLYING_CROSSEDITION_TRIGGER  PACKAGE		  SYS
DBMS_LOGREP_IMP 	       APPLY_ERROR		      PACKAGE		  SYS
DBMS_LOGREP_IMP 	       APPLY_ERROR_TXN		      PACKAGE		  SYS
DBMS_LOGREP_IMP 	       APPLY_MILESTONE		      PACKAGE		  SYS
DBMS_LOGREP_IMP 	       APPLY_PROGRESS		      PACKAGE		  SYS
DBMS_JDM_INTERNAL	       APPLY_TASK		      PACKAGE		  SYS
DBMS_AQJMS		       AQ$_ADD_NONDURABLE_SUBSCRIBER  PACKAGE		  SYS
DBMS_AQJMS		       AQ$_ADD_SUBSCRIBER	      PACKAGE		  SYS
DBMS_AQJMS		       AQ$_ALTER_SUBSCRIBER	      PACKAGE		  SYS
DBMS_AQJMS		       AQ$_ALTER_SUBSCRIBER	      PACKAGE		  SYS
DBMS_AQJMS		       AQ$_GET_PROP_STAT	      PACKAGE		  SYS
DBMS_AQJMS		       AQ$_GET_TRANS_TYPE	      PACKAGE		  SYS
DBMS_AQJMS		       AQ$_PR			      PACKAGE		  SYS
DBMS_AQJMS		       AQ$_PURGE_MESSAGE	      PACKAGE		  SYS
DBMS_AQJMS		       AQ$_REGISTER		      PACKAGE		  SYS
AQ$_REG_INFO		       AQ$_REG_INFO		      TYPE		  SYS
AQ$_REG_INFO		       AQ$_REG_INFO		      TYPE		  SYS
AQ$_REG_INFO		       AQ$_REG_INFO		      TYPE		  SYS
AQ$_REG_INFO		       AQ$_REG_INFO		      TYPE		  SYS
AQ$_REG_INFO		       AQ$_REG_INFO		      TYPE		  SYS
DBMS_AQJMS		       AQ$_REMOVE_SUBSCRIBER	      PACKAGE		  SYS
DBMS_AQJMS		       AQ$_REM_NONDURABLE_SUBSCRIBER  PACKAGE		  SYS
DBMS_AQJMS		       AQ$_UNREGISTER		      PACKAGE		  SYS
DBMS_AQJMS		       AQ$_UPDATE_PROP_STAT	      PACKAGE		  SYS
HTF			       AREA			      PACKAGE		  SYS
